Model Name,Class Name,Accuracy,Precision,Recall,Specificity,F1,Dice
expAugmented_flair,0:NoTumor,0.9905779145622896,0.9931075515916685,0.997167325482008,0.8031278321288313,0.9951332979620285,0.9951333
expAugmented_t1ce,0:NoTumor,0.9875591856060606,0.9916760249336783,0.9954777411905402,0.7622987009969093,0.993573246442049,0.99357325
expAugmented_t1ce-flair,0:NoTumor,0.9915548716329966,0.9923736373959838,0.9989347858584654,0.7816172084989039,0.9956434024856963,0.9956434
exp_flair,0:NoTumor,0.9886926557239057,0.9938458314794631,0.994453098855521,0.8248243595999969,0.9941493724315206,0.9941494
exp_t1ce,0:NoTumor,0.9835364057239058,0.9867750416735325,0.9963104162531201,0.6201519763902121,0.9915198042406398,0.9915198
exp_t1ce-flair,0:NoTumor,0.9895336174242424,0.9930650528285149,0.996121988802726,0.8021131069954066,0.9945911719018795,0.9945912
expAugmented_flair,1:NecroticCore,0.989983428030303,0.6010083245398053,0.24688741721854304,0.9981899297221465,0.3499991465100797,0.34999916
expAugmented_t1ce,1:NecroticCore,0.993711069023569,0.803479758828596,0.5616134858518964,0.9984830089825336,0.661119773210489,0.66111976
expAugmented_t1ce-flair,1:NecroticCore,0.993409617003367,0.7912025741664015,0.5388561107766405,0.9984295526020093,0.6410910236942382,0.64109105
exp_flair,1:NecroticCore,0.9894315551346802,0.560622414103256,0.15010234798314268,0.9987008237867596,0.23680261383279827,0.23680261
exp_t1ce,1:NecroticCore,0.9916698232323232,0.8328043757174691,0.297001806140879,0.9993415024966257,0.437852806475663,0.4378528
exp_t1ce-flair,1:NecroticCore,0.9912131734006734,0.6802823780135862,0.36898254063816976,0.9980848786260912,0.47845365975518356,0.47845367
expAugmented_flair,2:Edema,0.9876830808080808,0.6172421748827194,0.7395190269971437,0.9920079904038076,0.6728705566733736,0.6728706
expAugmented_t1ce,2:Edema,0.986433869949495,0.6051124458723285,0.5987284621763568,0.9931906536683437,0.6019035268508441,0.6019035
expAugmented_t1ce-flair,2:Edema,0.9912284301346801,0.7766342771566886,0.6848951134862864,0.9965670917188949,0.727885494189842,0.7278855
exp_flair,2:Edema,0.9866379945286196,0.5791521582932626,0.804585521668356,0.9898107364092749,0.6735054601081095,0.6735055
exp_t1ce,2:Edema,0.98472117003367,0.5606734982575993,0.4990939525169692,0.9931844981455819,0.5280946345585128,0.52809465
exp_t1ce-flair,2:Edema,0.9878843118686869,0.632676644622346,0.6978408427777266,0.9929390801293837,0.6636629838692011,0.66366297
expAugmented_flair,3:Enhancing,0.9924147727272727,0.33219358232509205,0.2812166013537585,0.9966407736778488,0.3045868904644769,0.3045869
expAugmented_t1ce,3:Enhancing,0.998359111952862,0.8760434056761269,0.8412451015318846,0.9992926969705309,0.8582916855974557,0.8582917
expAugmented_t1ce-flair,3:Enhancing,0.9981242108585858,0.9009470985296426,0.7667438546490916,0.9994990929162795,0.8284456419756057,0.8284456
exp_flair,3:Enhancing,0.9911326809764309,0.27734251345362454,0.31212148200926254,0.9951674241574282,0.2937060006704659,0.293706
exp_t1ce,3:Enhancing,0.998075021043771,0.863265502015742,0.8009885999287496,0.999246125577644,0.8309618405248084,0.8309618
exp_t1ce-flair,3:Enhancing,0.9970401936026936,0.7389320139895931,0.7715087281795511,0.9983803210462475,0.7548690688858873,0.75486904
